Code,ExperiencedHealthGoodVeryGood,OneOrMorePhysicalLimitations,LimitationInMovement,Underweight,NormalWeight,Overweight,SatisfiesPhysicalActivityGuidelines,WeeklySportsParticipant,Smokers,ExcessiveDrinker,DistanceToGP,GPWithin5Km,DistanceToLargeSupermarket,SMWithin5Km,DistanceToDepartmentStore,DSWithin20Km,DistanceToCafe,CafeWithin5Km_35,DistanceToSnackBar,SBWithin5Km,DistanceToRestaurant,RestWithin5Km,DistanceToAccessMainRoad,DistanceToTrainStationsTotal,DistanceToImportantTransferStation,Gemeentenaam,ProvinciecodePV,Provincienaam,Population,DensityPerKM,CarsPer1000
GM1680,83.1,13.8,8.2,0.7,50.1,49.2,47.3,48.3,14.3,5.4,2.4,2.0,2.1,2.8,5.2,7.6,3.3,1.8,2.4,3.7,1.0,10.6,1.6,12.5,28.6,Aa en Hunze,PV22,Drenthe,25445.0,92.0,576.0
GM0358,82.7,10.2,5.8,1.2,50.3,48.5,48.1,58.8,13.0,5.0,0.9,8.9,0.8,10.3,3.3,34.1,1.7,5.3,0.7,18.6,0.6,36.0,1.1,8.1,8.9,Aalsmeer,PV27,Noord-Holland,31859.0,1584.0,532.0
GM0197,79.1,15.1,8.3,1.4,49.2,49.4,56.2,51.5,14.7,6.6,1.5,3.2,1.4,3.2,1.7,7.5,1.2,2.7,1.1,6.5,0.9,11.6,1.0,4.4,41.0,Aalten,PV25,Gelderland,27121.0,281.0,527.0
GM0059,79.1,16.0,11.4,0.8,42.6,56.6,48.7,40.7,19.8,7.9,1.6,3.1,1.5,4.9,4.7,5.7,1.8,6.2,1.0,7.5,1.3,6.0,1.3,7.3,26.8,Achtkarspelen,PV21,Friesland,27843.0,272.0,529.0
GM0482,77.0,17.1,11.5,2.0,41.7,56.3,42.9,40.0,14.9,5.2,0.8,6.5,0.6,7.2,1.3,32.4,0.8,7.9,0.5,17.0,0.6,17.5,2.3,8.5,11.2,Alblasserdam,PV28,Zuid-Holland,20165.0,2297.0,454.0
GM0613,80.6,11.9,6.2,1.8,43.9,54.3,46.7,57.3,12.0,3.5,0.9,13.2,0.9,16.3,1.8,37.3,1.2,12.7,0.8,34.1,0.9,30.9,1.6,8.9,10.6,Albrandswaard,PV28,Zuid-Holland,25590.0,1180.0,496.0
GM0361,79.4,12.8,8.0,2.3,50.2,47.4,57.0,54.1,15.7,6.8,1.0,17.6,0.8,20.6,2.3,15.9,1.2,41.9,0.8,82.4,0.8,90.8,1.1,3.0,3.9,Alkmaar,PV27,Noord-Holland,109436.0,991.0,452.0
GM0141,77.1,20.2,12.9,1.7,42.1,56.3,49.1,41.3,21.8,6.8,1.0,15.3,0.8,19.8,2.2,13.7,1.3,18.0,0.6,54.1,0.9,49.1,2.4,2.2,2.6,Almelo,PV23,Overijssel,73107.0,1087.0,473.0
GM0034,76.4,13.6,8.0,2.2,43.3,54.5,43.4,47.1,16.3,4.0,1.0,11.0,0.8,19.7,2.7,8.1,1.7,17.7,0.7,59.2,0.8,66.3,1.5,2.0,4.6,Almere,PV24,Flevoland,211893.0,1640.0,1283.0
GM0484,80.1,12.6,7.1,1.3,48.3,50.4,48.6,49.6,16.0,6.3,0.9,9.5,0.9,12.5,3.3,22.3,1.3,14.0,0.9,35.0,0.7,51.0,1.7,3.2,14.2,Alphen aan den Rijn,PV28,Zuid-Holland,111897.0,886.0,477.0
GM1723,82.5,10.9,5.4,1.6,50.4,48.1,50.7,50.6,9.7,8.9,1.6,1.5,1.5,1.8,7.1,14.6,1.0,3.2,1.3,5.0,0.9,9.1,1.1,12.6,12.9,Alphen-Chaam,PV30,Noord-Brabant,10203.0,110.0,599.0
GM1959,81.1,11.5,6.7,2.4,42.7,54.8,44.6,44.3,14.3,4.9,1.0,2.3,1.0,3.1,5.2,7.8,1.6,3.5,1.2,5.9,1.3,6.0,2.0,12.9,25.8,Altena,PV30,Noord-Brabant,55967.0,279.0,527.0
GM0060,81.9,13.1,7.2,2.8,43.6,53.6,64.2,38.5,16.9,6.9,2.2,1.0,0.4,3.1,29.0,0.0,4.6,1.6,0.4,7.7,0.3,18.4,19.1,39.6,45.2,Ameland,PV21,Friesland,3716.0,63.0,507.0
GM0307,80.7,11.2,6.7,1.9,54.3,43.8,,,14.7,4.2,0.8,15.6,0.7,29.7,1.8,24.0,1.1,36.5,0.6,83.8,0.5,116.9,1.6,2.6,4.5,Amersfoort,PV26,Utrecht,157276.0,2512.0,739.0
GM0362,82.3,11.3,7.5,2.7,55.1,42.2,48.7,57.3,12.2,5.3,0.8,20.9,0.7,29.4,2.8,39.1,1.4,14.8,0.7,75.3,0.5,146.1,1.4,6.4,6.4,Amstelveen,PV27,Noord-Holland,91675.0,2229.0,413.0
GM0363,79.3,14.9,9.4,2.7,58.1,39.3,56.9,58.6,21.8,7.1,0.5,76.5,0.5,91.9,1.6,41.5,0.7,381.1,0.4,552.8,0.3,1027.2,2.0,2.5,4.3,Amsterdam,PV27,Noord-Holland,872757.0,5273.0,269.0
GM0200,79.2,14.2,9.4,2.0,47.1,51.0,48.7,49.4,16.0,5.5,0.9,18.2,0.8,28.3,2.3,10.3,1.4,45.0,0.7,78.1,0.7,94.7,2.2,3.2,4.0,Apeldoorn,PV25,Gelderland,163818.0,482.0,503.0
GM0003,72.8,20.1,15.3,1.5,38.1,60.4,44.5,36.7,18.4,6.4,1.4,2.4,0.9,6.0,1.1,3.9,1.0,8.3,0.7,12.7,0.9,14.6,1.0,1.5,25.5,Appingedam,PV20,Groningen,11642.0,490.0,475.0
GM0202,80.2,15.5,8.7,1.1,54.3,44.6,53.8,53.1,21.3,7.4,0.9,14.6,0.7,35.0,1.9,19.9,1.1,76.8,0.6,113.7,0.7,143.9,1.8,2.1,4.2,Arnhem,PV25,Gelderland,161348.0,1649.0,406.0
GM0106,78.8,13.6,8.3,0.5,46.8,52.7,50.1,45.3,16.3,4.3,1.2,8.5,0.9,16.1,2.3,6.5,1.5,17.7,0.9,33.7,1.0,63.5,2.5,3.2,26.7,Assen,PV22,Drenthe,68599.0,838.0,483.0
GM0743,78.4,15.6,7.6,3.2,52.8,43.9,48.7,55.6,13.6,9.1,1.3,4.3,1.1,7.5,1.7,11.7,0.9,12.3,0.9,14.6,0.8,20.0,1.9,8.3,22.9,Asten,PV30,Noord-Brabant,16721.0,238.0,537.0
GM0744,74.7,15.3,10.4,0.8,46.2,53.1,48.5,45.2,14.3,6.6,2.3,1.0,2.2,2.6,2.5,7.2,1.2,3.3,2.1,9.0,1.2,9.3,2.3,19.0,19.4,Baarle-Nassau,PV30,Noord-Brabant,6859.0,90.0,602.0
GM0308,80.9,10.6,6.2,3.2,52.9,43.9,,,13.3,6.0,0.9,11.1,0.6,12.7,1.3,24.5,1.2,11.6,0.7,28.5,0.6,50.8,1.3,1.5,8.5,Baarn,PV26,Utrecht,24868.0,764.0,493.0
GM0489,83.6,11.7,7.3,1.3,47.6,51.0,40.2,51.7,14.2,4.0,1.3,22.6,1.3,16.8,1.9,42.3,1.7,11.7,1.0,48.7,1.1,46.6,2.3,3.2,10.8,Barendrecht,PV28,Zuid-Holland,48714.0,2467.0,478.0
GM0203,84.2,13.7,7.9,2.7,47.9,49.4,50.9,46.8,15.7,5.9,1.3,4.0,1.1,8.2,2.7,17.4,1.8,4.4,1.2,16.0,1.6,17.5,1.4,3.3,18.5,Barneveld,PV25,Gelderland,59082.0,336.0,491.0
GM0888,75.3,18.1,12.6,1.5,43.8,54.7,44.3,45.6,13.9,5.0,1.0,12.7,1.0,13.8,2.3,20.1,0.5,44.7,0.6,52.7,0.6,51.8,1.6,1.9,8.5,Beek,PV31,Limburg,15865.0,754.0,600.0
GM1954,73.7,16.9,10.7,1.4,43.0,55.6,42.7,46.5,15.7,5.2,0.9,8.7,1.1,11.2,4.1,17.7,0.7,27.5,0.7,39.7,0.7,37.7,1.3,3.9,8.9,Beekdaelen,PV31,Limburg,35938.0,459.0,601.0
GM0370,84.2,10.9,6.4,1.7,53.8,44.5,51.7,53.0,11.4,4.8,1.5,7.0,1.6,7.4,5.1,17.8,1.2,11.7,1.4,19.0,1.1,27.1,1.4,6.3,16.9,Beemster,PV27,Noord-Holland,10022.0,142.0,521.0
GM0889,73.9,20.1,12.8,2.4,44.6,53.0,52.7,44.7,16.0,4.8,1.0,3.7,0.7,6.6,1.5,8.0,0.7,10.7,0.6,15.4,0.8,14.6,2.6,1.4,11.6,Beesel,PV31,Limburg,13482.0,482.0,529.0
GM1945,74.2,14.2,8.8,1.2,46.6,52.2,49.4,52.0,17.1,5.8,1.0,5.4,0.9,7.7,5.6,11.1,1.4,18.3,0.9,24.0,1.0,33.8,1.1,7.4,10.2,Berg en Dal,PV25,Gelderland,34992.0,405.0,523.0
GM1724,80.3,14.8,7.1,2.7,44.0,53.2,47.8,51.2,12.5,6.7,1.2,4.2,1.3,4.5,2.8,12.8,0.8,8.1,1.0,11.3,0.8,11.7,3.3,19.1,19.4,Bergeijk,PV30,Noord-Brabant,18635.0,184.0,577.0
GM0893,74.8,16.3,8.8,1.7,43.6,54.7,49.9,42.5,18.1,6.7,2.2,1.4,2.4,2.7,4.5,4.7,1.4,3.4,1.1,5.3,0.7,9.4,1.6,8.1,28.7,Bergen (L.),PV31,Limburg,13085.0,127.0,592.0
GM0373,80.7,10.5,7.4,1.8,55.8,42.4,58.2,52.1,12.7,8.3,1.3,3.9,0.9,7.4,3.9,11.8,1.1,8.8,0.7,23.7,0.7,34.3,1.5,6.4,7.6,Bergen (NH.),PV27,Noord-Holland,29839.0,302.0,532.0
GM0748,76.3,16.0,9.7,1.2,44.0,54.8,49.1,47.3,17.5,5.5,0.9,10.7,0.8,16.2,2.0,5.0,1.0,47.6,0.6,49.5,0.8,53.0,1.9,2.7,14.7,Bergen op Zoom,PV30,Noord-Brabant,67496.0,844.0,481.0
GM1859,82.4,13.6,8.8,1.2,44.7,54.1,52.0,52.6,14.5,9.9,1.6,2.4,1.5,3.5,2.8,11.4,2.2,3.6,1.3,6.5,1.1,8.3,1.3,9.4,23.3,Berkelland,PV25,Gelderland,43747.0,170.0,559.0
GM1721,82.2,13.0,8.6,2.0,50.0,48.0,49.9,58.6,12.1,6.7,1.3,6.3,1.0,8.1,3.7,16.3,0.8,12.3,0.7,19.8,1.0,24.5,2.2,8.0,18.4,Bernheze,PV30,Noord-Brabant,31240.0,348.0,541.0
GM0753,79.9,13.2,9.0,1.0,46.6,52.4,47.8,56.4,10.3,5.8,0.9,10.7,0.7,9.5,1.7,23.0,1.1,9.8,0.6,15.9,0.8,23.1,1.6,1.5,11.2,Best,PV30,Noord-Brabant,29988.0,874.0,518.0
GM0209,74.1,11.3,6.5,1.5,45.4,53.1,48.1,53.3,16.4,6.2,0.9,8.1,1.0,8.1,2.2,14.4,1.2,13.1,0.9,29.6,0.8,29.3,2.6,6.8,8.0,Beuningen,PV25,Gelderland,25890.0,593.0,531.0
GM0375,75.4,16.8,10.1,2.3,43.9,53.8,54.5,49.0,18.1,6.7,0.7,20.1,0.6,22.8,1.8,21.9,0.6,35.8,0.5,58.8,0.5,66.7,1.6,1.8,13.0,Beverwijk,PV27,Noord-Holland,41626.0,2262.0,463.0
GM0310,80.3,11.4,7.7,1.8,56.3,41.9,,,12.1,6.8,1.0,11.5,0.9,15.3,2.2,35.4,1.7,14.3,1.0,35.7,0.7,68.7,1.6,2.5,8.2,De Bilt,PV26,Utrecht,43137.0,652.0,490.0
GM1728,81.3,12.3,7.6,1.9,47.2,50.9,53.2,52.2,12.3,7.7,1.3,6.7,1.5,6.0,2.4,10.9,0.7,14.1,0.7,18.2,0.9,19.3,1.5,20.4,21.7,Bladel,PV30,Noord-Brabant,20390.0,271.0,572.0
GM0376,82.4,12.4,7.7,3.1,57.2,39.7,49.3,53.7,12.7,8.3,1.0,12.5,0.8,15.5,3.1,18.3,2.0,3.4,0.8,30.9,0.6,55.0,1.4,8.0,9.3,Blaricum,PV27,Noord-Holland,11540.0,1038.0,583.0
GM0377,85.3,10.4,6.2,2.3,61.8,35.9,66.4,67.2,9.7,8.7,0.9,24.1,0.7,28.3,2.5,25.5,1.3,58.2,0.7,107.7,0.7,163.7,1.2,1.8,5.2,Bloemendaal,PV27,Noord-Holland,23571.0,592.0,519.0
GM1901,84.1,12.0,8.0,1.3,49.4,49.4,47.8,50.0,13.1,5.4,1.1,6.6,0.8,6.8,3.0,14.1,1.1,7.3,1.0,21.5,1.1,23.9,1.3,3.0,8.5,Bodegraven-Reeuwijk,PV28,Zuid-Holland,34872.0,463.0,490.0
GM0755,81.7,14.7,7.8,1.3,49.7,49.0,51.7,57.1,10.9,5.8,1.7,2.2,1.7,3.3,1.8,10.6,1.4,7.3,0.9,9.5,0.9,7.9,1.3,17.7,27.8,Boekel,PV30,Noord-Brabant,10785.0,313.0,545.0
GM1681,78.4,15.7,9.5,2.3,40.7,57.0,46.1,40.5,15.6,5.6,1.9,2.3,1.9,3.0,4.2,6.8,4.2,2.0,1.8,6.5,1.1,9.8,2.0,15.4,44.2,Borger-Odoorn,PV22,Drenthe,25559.0,93.0,598.0
GM0147,84.0,13.2,8.6,1.3,45.6,53.1,55.1,54.4,14.6,7.7,1.1,5.4,1.0,9.9,1.5,18.4,1.2,13.7,0.6,32.7,0.8,32.6,1.0,1.5,5.9,Borne,PV23,Overijssel,23312.0,897.0,504.0
GM0654,76.6,14.5,8.2,1.5,44.7,53.9,44.8,41.7,15.7,6.8,1.6,1.7,1.3,1.8,10.6,2.3,1.4,1.9,1.4,3.0,1.9,4.0,1.6,8.9,56.1,Borsele,PV29,Zeeland,22739.0,161.0,569.0
GM0756,79.9,13.2,8.9,0.8,51.0,48.2,53.3,57.6,12.0,7.7,1.3,4.0,1.2,4.8,3.1,7.8,1.6,4.9,0.8,12.4,0.9,15.5,2.3,2.8,26.7,Boxmeer,PV30,Noord-Brabant,29365.0,263.0,541.0
GM0757,79.8,13.9,8.1,0.8,49.3,49.9,55.1,55.8,16.4,6.7,1.0,5.5,0.9,9.1,1.9,22.7,1.0,18.7,0.8,22.8,0.9,28.1,1.7,2.3,13.0,Boxtel,PV30,Noord-Brabant,30801.0,483.0,485.0
GM0758,79.0,14.7,8.9,2.1,51.4,46.5,50.0,57.7,17.5,6.5,0.7,20.4,0.7,30.2,1.6,16.4,0.8,97.3,0.6,147.8,0.6,140.5,2.5,3.0,3.7,Breda,PV30,Noord-Brabant,184069.0,1464.0,822.0
GM0501,81.3,13.3,8.4,1.0,47.0,51.9,45.3,49.2,14.9,5.4,1.6,2.4,1.0,4.6,2.0,11.2,1.3,7.8,0.7,12.2,1.0,19.2,0.9,22.7,26.8,Brielle,PV28,Zuid-Holland,17271.0,627.0,557.0
GM1876,81.1,11.2,6.9,0.9,45.9,53.1,52.3,50.9,13.5,6.8,1.8,2.0,1.7,3.3,3.1,16.0,2.8,2.1,1.3,5.9,1.3,8.1,1.1,6.2,16.7,Bronckhorst,PV25,Gelderland,36055.0,127.0,596.0
GM0213,80.2,15.6,10.7,1.4,42.2,56.4,51.2,47.3,15.0,6.4,1.1,3.5,1.1,3.7,3.7,14.2,4.3,1.0,0.9,8.9,0.9,10.0,1.2,4.5,9.4,Brummen,PV25,Gelderland,20726.0,248.0,547.0
GM0899,69.8,23.5,16.0,1.9,39.1,59.1,39.2,40.3,19.9,5.1,1.0,14.6,0.6,21.4,1.4,14.8,0.5,47.0,0.4,77.7,0.5,46.5,1.0,6.2,7.3,Brunssum,PV31,Limburg,27821.0,1613.0,550.0
GM0312,84.5,9.7,5.3,1.2,57.5,41.3,,,9.7,5.6,0.8,7.6,0.7,7.8,2.7,29.5,0.6,10.3,0.7,20.7,1.1,31.9,0.8,3.3,9.7,Bunnik,PV26,Utrecht,15191.0,411.0,476.0
GM0313,81.4,14.8,8.9,1.0,50.9,48.1,,,15.2,6.2,1.3,2.3,0.9,6.0,1.6,20.0,1.1,5.9,1.0,8.9,0.8,20.1,1.8,9.2,12.1,Bunschoten,PV26,Utrecht,21866.0,720.0,446.0
GM0214,78.2,11.8,6.3,0.8,44.7,54.5,40.0,45.3,18.6,5.2,1.8,2.1,1.6,2.8,4.9,12.8,1.6,3.5,1.0,8.4,1.2,6.8,1.3,7.1,29.2,Buren,PV25,Gelderland,26749.0,200.0,588.0
GM0502,75.8,13.7,10.0,2.0,44.4,53.6,42.5,50.3,16.3,5.0,0.7,20.8,0.7,28.5,2.1,40.8,1.6,15.0,0.7,62.7,0.7,70.6,2.1,3.4,9.4,Capelle aan den IJssel,PV28,Zuid-Holland,67122.0,4747.0,464.0
GM0383,83.5,10.8,6.9,2.5,56.2,41.3,57.5,62.3,10.8,8.2,0.7,7.1,0.8,8.1,2.2,19.7,1.1,12.3,0.7,18.4,0.7,35.6,1.5,2.8,11.1,Castricum,PV27,Noord-Holland,35986.0,724.0,486.0
GM0109,76.5,17.0,10.3,1.4,39.1,59.4,49.5,44.2,17.9,7.4,2.0,1.2,1.6,4.4,5.8,5.5,3.0,3.3,1.3,8.1,1.4,10.2,1.3,5.3,46.8,Coevorden,PV22,Drenthe,35297.0,119.0,550.0
GM1706,77.7,13.4,7.0,2.0,49.1,48.9,51.0,52.7,13.3,9.3,1.4,2.9,1.2,3.0,3.1,8.8,0.9,8.9,0.8,10.9,0.7,12.3,3.9,5.8,22.5,Cranendonck,PV30,Noord-Brabant,21138.0,277.0,567.0
GM1684,77.8,18.2,10.1,0.8,48.6,50.6,52.3,50.7,12.2,5.0,1.3,3.5,1.0,7.1,2.4,12.2,0.9,14.2,0.6,21.0,1.1,21.7,1.9,2.3,16.5,Cuijk,PV30,Noord-Brabant,25130.0,491.0,536.0
GM0216,77.2,12.5,7.2,1.8,50.1,48.1,52.0,50.2,13.1,4.9,0.9,5.3,0.7,7.4,1.8,11.8,1.2,8.3,0.6,21.1,0.7,20.6,1.7,1.7,22.5,Culemborg,PV25,Gelderland,28955.0,989.0,464.0
GM0148,85.9,12.2,7.0,1.6,48.5,49.9,51.5,51.2,12.5,6.5,2.1,0.9,1.6,3.0,1.9,13.9,4.4,0.9,1.8,2.5,1.1,8.1,1.2,6.5,16.0,Dalfsen,PV23,Overijssel,28587.0,173.0,569.0
GM1891,77.6,17.7,11.3,1.3,41.6,57.2,46.2,38.9,15.2,5.9,1.1,3.5,1.4,4.4,6.8,5.3,1.1,4.6,1.2,6.1,1.3,4.3,2.4,4.6,20.0,Dantumadiel,PV21,Friesland,18922.0,224.0,520.0
GM0503,79.7,10.8,7.4,1.9,58.5,39.6,54.1,58.3,15.0,6.7,0.6,24.2,0.5,30.8,1.6,57.8,0.8,50.6,0.4,128.9,0.4,177.9,1.3,1.7,9.3,Delft,PV28,Zuid-Holland,103595.0,4573.0,320.0
GM0010,77.6,16.4,12.4,0.9,40.5,58.5,40.9,36.0,19.5,4.4,1.4,2.4,1.3,5.7,4.0,3.3,1.4,9.5,1.3,10.9,1.4,16.5,1.2,3.8,30.2,Delfzijl,PV20,Groningen,24678.0,185.0,505.0
GM0762,78.5,15.6,9.2,1.3,43.9,54.8,52.0,52.8,13.5,7.3,1.3,6.9,1.1,7.0,2.9,10.7,0.9,13.7,0.7,19.4,1.2,18.7,2.0,3.2,24.2,Deurne,PV30,Noord-Brabant,32471.0,278.0,525.0
GM0150,78.1,13.5,8.2,0.9,49.9,49.2,51.4,51.1,19.5,4.8,1.0,13.1,0.8,18.0,2.3,12.6,1.8,23.7,0.6,65.0,0.7,65.3,1.6,2.2,3.6,Deventer,PV23,Overijssel,100719.0,771.0,441.0
GM0384,81.9,12.1,7.0,3.5,54.4,42.1,48.9,56.7,16.9,5.8,0.8,39.8,0.7,32.0,1.5,36.2,1.0,39.7,0.6,129.4,0.8,171.9,1.2,1.0,7.8,Diemen,PV27,Noord-Holland,30780.0,2566.0,332.0
GM1774,83.6,12.0,7.2,0.4,47.4,52.2,56.1,57.7,15.8,12.1,2.0,2.4,1.9,3.6,4.7,8.7,4.0,2.3,1.5,5.9,0.9,16.5,1.1,10.1,17.6,Dinkelland,PV23,Overijssel,26461.0,151.0,557.0
GM0221,73.9,18.0,10.5,0.9,42.3,56.8,49.7,45.6,19.2,6.1,1.0,2.5,0.6,4.0,1.3,19.7,1.1,5.7,0.5,12.0,1.2,13.1,1.0,6.1,18.9,Doesburg,PV25,Gelderland,11077.0,961.0,520.0
GM0222,80.1,13.6,8.2,2.4,45.6,52.0,54.8,52.7,14.6,6.1,1.1,9.1,0.8,12.3,2.6,15.5,1.7,19.0,0.8,38.4,0.9,36.4,1.6,1.8,25.1,Doetinchem,PV25,Gelderland,58001.0,734.0,530.0
GM0766,82.0,14.4,8.9,1.3,44.0,54.6,47.3,56.0,14.1,4.7,1.5,3.2,0.8,7.9,1.6,21.4,0.9,11.1,0.6,13.2,0.8,15.2,2.1,7.8,13.9,Dongen,PV30,Noord-Brabant,26222.0,897.0,543.0
GM0505,76.7,16.0,10.2,2.0,45.0,52.9,48.2,47.4,15.7,5.3,0.9,20.0,0.7,26.5,1.7,15.8,1.9,30.0,0.6,92.7,0.6,86.4,1.5,1.6,3.1,Dordrecht,PV28,Zuid-Holland,119284.0,1519.0,488.0
GM0498,82.0,10.4,5.8,1.2,53.7,45.1,55.7,55.9,12.5,6.2,1.6,4.3,1.6,5.6,3.5,7.4,1.5,4.0,1.5,6.2,1.1,8.6,1.6,3.4,10.7,Drechterland,PV27,Noord-Holland,19719.0,335.0,511.0
GM1719,77.9,13.5,7.3,1.0,45.4,53.6,44.8,49.1,15.2,7.9,1.2,2.3,0.7,5.2,3.7,13.4,0.6,11.0,1.1,7.5,0.7,10.0,2.0,9.3,11.1,Drimmelen,PV30,Noord-Brabant,27272.0,287.0,549.0
GM0303,82.2,13.4,7.8,1.6,48.2,50.2,50.4,46.6,14.3,5.5,1.6,2.2,1.5,4.4,4.8,3.8,3.1,2.7,1.4,8.7,1.3,10.0,1.4,5.1,31.6,Dronten,PV24,Flevoland,41555.0,125.0,515.0
GM0225,74.4,14.7,9.7,1.1,39.6,59.3,45.2,46.6,15.9,4.7,1.3,3.3,0.8,6.6,2.2,9.8,1.1,5.9,0.6,16.6,1.3,11.1,2.3,14.3,18.9,Druten,PV25,Gelderland,18926.0,503.0,534.0
GM0226,78.5,16.5,9.7,0.9,45.3,53.8,52.5,51.4,14.6,6.5,1.1,6.1,1.1,9.7,1.8,17.1,1.2,10.5,1.0,18.0,0.9,24.6,2.1,1.6,10.6,Duiven,PV25,Gelderland,25126.0,741.0,558.0
GM1711,72.7,19.5,11.9,1.4,42.1,56.5,45.7,45.1,16.0,4.9,1.2,6.0,1.0,6.1,3.8,8.1,0.7,17.7,0.8,25.4,1.2,17.3,0.9,2.4,10.9,Echt-Susteren,PV31,Limburg,31610.0,307.0,583.0
GM0385,81.3,13.9,8.0,1.6,49.1,49.2,49.6,51.5,12.4,7.9,1.2,4.0,0.9,6.2,2.9,6.3,1.3,11.6,1.0,16.9,1.1,27.9,1.4,9.5,18.5,Edam-Volendam,PV27,Noord-Holland,36197.0,666.0,416.0
GM0228,83.4,14.4,8.8,1.8,48.1,50.1,54.3,49.4,16.5,4.4,1.1,8.6,1.0,16.2,2.7,15.2,1.2,21.4,1.0,42.5,1.1,46.0,1.5,3.0,19.9,Ede,PV25,Gelderland,117165.0,368.0,488.0
GM0317,82.2,8.7,5.4,1.6,46.6,51.8,,,15.2,9.0,1.1,8.2,1.0,6.4,1.1,20.7,1.2,4.4,1.0,12.7,0.8,33.4,1.1,6.9,8.0,Eemnes,PV26,Utrecht,9247.0,298.0,554.0
GM0770,80.4,14.2,6.8,0.7,52.6,46.7,51.3,53.8,10.4,6.5,1.5,3.2,1.5,4.2,3.3,16.9,1.0,4.6,1.0,13.2,0.8,15.6,2.9,15.2,15.9,Eersel,PV30,Noord-Brabant,19313.0,234.0,578.0
